dialogue_id,即时性,意图识别,内容准确性,建议可遵循,恰当表达,情感关怀,话题引导,安全性,负向情感风险,合规性,总分,备注
dialogue_patient_0000,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0001,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0002,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0003,2,2,1,1,2,2,2,2,2,2,19,
dialogue_patient_0005,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0006,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0007,2,2,1,2,2,2,2,2,2,2,19,
dialogue_patient_0008,2,2,1,2,2,2,1,2,2,2,17,
dialogue_patient_0009,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0010,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0011,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0012,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0014,2,2,1,2,2,2,2,2,2,2,19,
dialogue_patient_0015,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0016,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0017,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0018,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0019,2,2,1,2,2,2,2,2,2,2,19,
dialogue_patient_0020,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0021,2,2,1,2,2,2,2,2,2,2,20,
dialogue_patient_0022,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0023,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0024,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0025,2,2,1,2,2,2,2,2,2,2,19,
dialogue_patient_0026,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0028,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0029,2,2,1,2,2,2,1,2,2,2,17,
dialogue_patient_0030,2,1,2,2,2,2,1,2,2,2,18,
dialogue_patient_0032,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0033,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0034,2,2,1,2,2,2,2,2,2,2,19,
dialogue_patient_0035,2,2,1,2,2,2,1,2,2,2,18,
dialogue_patient_0038,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0039,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0040,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0041,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0042,2,2,1,2,2,2,2,2,2,2,19,
dialogue_patient_0043,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0044,2,2,2,1,2,2,0,2,2,2,15,
dialogue_patient_0045,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0046,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0047,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0048,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0049,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0050,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0051,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0053,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0054,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0055,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0056,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0058,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0059,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0061,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0064,2,2,1,2,2,2,1,2,2,2,17,
dialogue_patient_0065,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0066,2,2,1,2,2,2,2,2,2,2,19,
dialogue_patient_0067,2,1,1,2,2,2,1,2,2,2,16,
dialogue_patient_0069,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0070,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0071,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0073,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0074,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0076,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0077,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0078,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0079,2,2,1,2,2,2,2,2,2,2,19,
dialogue_patient_0080,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0081,2,2,2,2,2,2,1,2,2,2,17,
dialogue_patient_0082,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0084,2,2,1,2,2,1,2,2,2,2,18,
dialogue_patient_0086,2,2,1,2,2,2,1,2,2,2,18,
dialogue_patient_0087,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0088,2,2,1,2,2,2,2,2,2,2,19,
dialogue_patient_0090,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0093,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0094,2,2,1,2,2,2,2,2,2,2,19,
dialogue_patient_0095,2,2,2,1,2,2,2,2,1,2,18,
dialogue_patient_0097,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0098,2,2,1,2,2,2,2,2,2,2,19,
dialogue_patient_0100,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0101,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0103,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0105,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0106,2,2,1,2,2,2,2,2,2,2,19,
dialogue_patient_0107,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0108,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0109,2,2,1,2,2,2,2,2,2,2,19,
dialogue_patient_0110,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0111,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0112,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0113,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0114,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0115,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0117,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0118,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0119,2,2,1,2,2,2,2,2,2,2,19,
dialogue_patient_0120,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0121,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0122,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0123,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0124,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0125,2,2,1,2,2,2,2,2,2,2,20,
dialogue_patient_0126,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0127,2,2,1,1,2,2,2,2,2,2,18,
dialogue_patient_0128,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0130,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0131,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0132,2,1,1,1,2,1,1,2,2,2,15,
dialogue_patient_0134,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0135,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0136,2,2,2,2,2,2,1,2,2,2,17,
dialogue_patient_0137,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0139,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0141,2,2,1,2,2,2,2,2,2,2,19,
dialogue_patient_0142,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0143,2,2,1,2,2,2,2,2,2,2,19,
dialogue_patient_0144,2,2,1,2,2,2,2,2,2,2,19,
dialogue_patient_0145,2,2,2,2,2,2,1,2,2,2,17,
dialogue_patient_0146,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0147,2,1,2,1,2,2,0,2,2,2,15,
dialogue_patient_0149,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0150,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0151,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0152,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0153,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0155,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0156,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0157,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0158,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0159,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0160,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0161,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0162,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0163,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0164,2,2,2,2,2,1,1,2,2,2,18,
dialogue_patient_0166,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0168,2,2,1,2,2,2,2,2,2,2,19,
dialogue_patient_0169,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0171,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0172,2,2,2,2,2,1,2,2,2,2,19,
dialogue_patient_0173,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0174,2,2,1,2,2,2,2,2,2,2,19,
dialogue_patient_0175,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0176,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0177,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0179,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0181,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0182,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0183,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0184,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0185,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0186,2,2,1,1,2,2,1,2,2,2,17,
dialogue_patient_0187,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0188,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0189,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0190,2,2,2,2,2,2,1,2,2,2,17,
dialogue_patient_0191,2,1,1,1,2,1,0,2,1,2,12,
dialogue_patient_0192,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0193,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0194,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0195,2,2,2,2,2,2,2,2,2,2,20,
dialogue_patient_0196,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0197,2,2,2,2,2,2,1,2,2,2,17,
dialogue_patient_0198,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0199,2,2,2,2,2,2,1,2,2,2,19,
dialogue_patient_0200,2,2,1,2,2,2,2,2,2,2,19,
dialogue_patient_0201,2,2,2,1,2,2,2,2,2,2,20,
dialogue_patient_0202,2,2,2,2,2,2,1,2,2,2,19,
